,Sp,Brand_name,Price
170,Điện Thoại Samsung Galaxy A55 5G 8GB/128GB - Hàng Chính Hãng,Samsung,7739000
171,"Điện thoại Realme V60S (6GB/128GB) 5G , Chíp Dimensity 6300, Rom tiếng việt - Hàng nhập khẩu",Realme,2799000
172,Điện thoại Xiaomi Redmi Note 13 Pro 4G (8GB/128GB) - Hàng chính hãng,Xiaomi,5949000
173,"Máy Tính Bảng Học Tập Smart Study 1, Hàng Chính Hãng, Cho Trẻ Từ 5-12 Tuổi, 64GB, Tích Hợp Chương Trình Học Tập Toàn Diện",Nexta,7900000
174,"Điện thoại ZTE Libero 5G IV - 4GB/128GB Dimensity 700 , Kháng nước IP67 , Sạc nhanh 22,5W - Mới nguyên seal - Hàng nhập khẩu",Tecno,2269000
175,Điện Thoại Oppo A38 4GB/128GB - Hàng Chính Hãng,OPPO,3299000
176,Điện Thoại Oppo A18 4GB/64GB - Hàng Chính Hãng,OPPO,2739000
177,Điện Thoại Oppo A18 4GB/128GB - Hàng Chính Hãng,OPPO,2979000
178,"Điện thoại Xiaomi Redmi 13C (4+128GB) | 6.74"" 90Hz| Media Tek Helio G85| 5000mAh - Hàng chính hãng",Xiaomi,3290000
179,Điện Thoại Samsung Galaxy A05s (4GB/128GB) - Hàng Chính Hãng,Samsung,3625000
180,"Máy đọc sách Kobo Clara (Clara Colour, Clara BW, Clara 2e, Clara HD) - 6inch, 16gb - Hàng Chính Hãng",Kobo,4299000
181,Điện thoại Nokia 110 4G Pro - Hàng chính hãng,Nokia,889000
182,Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng,Samsung,7164000
183,Điện Thoại Samsung A34 5G 8GB/128GB - Hàng Chính Hãng,Samsung,7164000
184,Điện Thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng Chính Hãng,Samsung,7164000
185,"Máy đọc sách Kindle Scribe – thế hệ đầu tiên có thể đọc và viết, màn hình 10,2” 300PPI, đèn vàng warmlight, bộ nhớ 16-64GB, đồng bộ dữ liệu qua Microsoft Word - hàng nhập khẩu",Kindle,11500000
186,Điện thoại Samsung Galaxy Z Fold4 5G (12GB/256GB) - Hàng chính hãng,Samsung,40790000
187,Điện thoại OnePlus 10T 5G - Hàng Chính Hãng,OnePlus ,15990000
188,"Máy đọc sách Kobo Libra (Libra Colour, Libra 2) - hàng nhập khẩu",Kobo,7399000
189,Điện thoại bàn không dây Panasonic KX-TGB110-Hàng Chính Hãng,Panasonic,850000
190,Điện thoại vivo Y28 (8GB+256GB) - Hàng chính hãng - 1 Đổi 1 tháng đầu tiên - Bảo hành 12 tháng,Vivo,6490000
191,Điện thoại vivo Y28 (8GB+128GB) - Hàng chính hãng - 1 Đổi 1 tháng đầu tiên - Bảo hành 12 tháng,Vivo,5790000
192,Điện Thoại Realme C75x 6GB/128GB - Hàng Chính Hãng,Realme,4179000
193,"Điện thoại Samsung Galaxy A06 5G (4/128GB), Màn Hình Cực Đại HD+ 6.7”, 5G Kết nối cực nhanh - Hàng chính hãng",Samsung,3920000
194,Điện Thoại Realme Note 60x 3GB/64GB - Hàng Chính Hãng,Realme,2179000
195,Điện Thoại Realme Note 60 4GB/128GB - Hàng Chính Hãng,Realme,2599000
196,Điện thoại Realme Note 60 (4GB/128GB) - Hàng chính hãng,Realme,3360000
197,"Điện thoại Xiaomi Redmi Note 9T 4GB/128GB 5G Dimensity 800U 5G, Có NFC , Rom tiếng việt - Hàng nhập khẩu Nhật",Xiaomi,2369000
198,Ốp Lưng Samsung Galaxy S25 Plus Trong Suốt - Hàng chính hãng,Samsung,590000
199,"Máy đọc sách Basic 2024 màn hình 6 inch, độ phân giải 300ppi, dung Lượng 16GB, cổng sạc type C - HÀNG CHÍNH HÃNG",X eXtreme,3590000
200,[MỚI] Điện thoại vivo Y100 (8GB+256GB) - Hàng chính hãng - 1 Đổi 1 trong tháng đầu tiên - Bảo hành 12 tháng,Vivo,7690000
201,Điện thoại Masstel izi S1 4G - Hàng chính hãng,Masstel,509000
202,Điện Thoại Oppo A3 6GB/128GB - Hàng Chính Hãng,OPPO,4119000
203,Điện thoại Realme Note 50 (3GB/64GB) - Hàng chính hãng,Realme,2480000
204,Điện thoại Samsung Galaxy Z Flip6 (12GB/256GB) - Hàng chính hãng,Samsung,28790000
205,BÚT MÁY ĐỌC SÁCH KINDLE SCRIBE - HÀNG CHÍNH HÃNG,Kindle,2000000
